company,salTpNm,minSal,maxSal,holidayTpNm,minEdubg,career,empTpCd,jobsCd,regDt,closeDt,region_1,region_2,basicAddr,smCo,coTp
두산건설(주),월급,4000000,5000000,주5일근무,대졸(4년),경력,20,140203,22-01-12,22-02-11,부산,부산 사하구,부산광역시 사하구 장림로 159,N,01
주식회사한라,연봉,45000000,60000000,주6일근무,대졸(2~3년),경력,20,140203,22-01-10,22-02-18,부산,부산 남구,부산광역시 남구 지게골로 108,N,01
주식회사한라,연봉,30000000,36000000,주6일근무,학력무관,관계없음,20,158400,22-01-10,22-02-18,부산,부산 남구,부산광역시 남구 지게골로 108,N,01
롯데건설㈜,연봉,50000000,55000000,주5일근무,학력무관,경력,10,028401,22-01-06,채용시까지  22-02-28,부산,부산 북구,부산광역시 북구 기찰로 12,N,01
두산건설(주),월급,1800000,2000000,주6일근무,학력무관,관계없음,20,561101,22-01-03,채용시까지  22-02-27,부산,부산 동구,부산광역시 동구 범일로 41,N,01
(주)이마트,시급,10940,0,주5일근무,고졸,관계없음,21,617902,21-12-29,채용시까지  22-02-28,부산,부산 강서구,부산광역시 강서구 명지국제6로 168,N,01
메리츠화재해상보험(주),월급,1914440,2820000,주5일근무,학력무관,관계없음,20,032300,21-12-28,채용시까지  22-02-27,부산,부산 동구,부산광역시 동구 중앙대로 331,N,01
롯데건설㈜,월급,1920000,1920000,주5일근무,학력무관,신입,20,706000,21-12-27,채용시까지  22-02-23,부산,부산 사상구,부산광역시 사상구 가야대로255번길 17,N,01
현대엔지니어링(주),연봉,38000000,50000000,주6일근무,대졸(2~3년),경력,20,140204,21-12-22,22-02-21,부산,부산 연제구,부산광역시 연제구 중앙대로 1000,N,01
롯데건설㈜,연봉,31000000,0,주5일근무,학력무관,관계없음,20,028301,21-12-17,채용시까지  22-02-15,부산,부산 부산진구,부산광역시 부산진구 신천대로 108,N,01
두산건설(주),월급,2500000,3000000,주5일근무,대졸(2~3년),관계없음,20,140203,21-12-15,채용시까지  22-02-13,부산,부산 동구,부산광역시 동구 범일로 41,N,01
계룡건설산업(주),월급,2500000,0,주5일근무,대졸(2~3년),경력,20,140203,22-01-27,채용시까지  22-03-23,대구,대구 중구,대구광역시 중구 동덕로 115,N,01
(주)에스텍시스템,월급,2430000,2430000,주5일근무,학력무관,경력,10,834002,22-02-04,22-02-24,인천,인천 중구,인천광역시 중구 영종해안북로847번길 42,N,01
(주)에스텍시스템,연봉,30600000,31200000,,고졸,경력,20,814002,22-02-04,채용시까지  22-04-02,인천,인천 중구,인천광역시 중구 영종해안남로 19-5,N,01
(주)에스텍시스템,연봉,36000000,36000000,주5일근무,고졸,경력,20,834002,22-02-04,채용시까지  22-04-02,인천,인천 중구,인천광역시 중구 영종해안남로 19-5,N,01
제일사료(주),월급,2000000,0,주5일근무,학력무관,관계없음,10,890000,22-02-04,채용시까지  22-04-03,인천,인천 중구,인천광역시 중구 서해대로209번길 69,N,01
제일사료(주),월급,2000000,0,주5일근무,대졸(2~3년),관계없음,10,890005,22-02-04,채용시까지  22-04-03,인천,인천 중구,인천광역시 중구 서해대로209번길 69,N,01
(주)포스코건설,월급,2500000,0,주5일근무,대졸(4년),경력,20,140305,22-02-04,채용시까지  22-03-03,인천,인천 중구,인천광역시 중구 공항동로1길 19-18,N,01
(주)에스텍시스템,연봉,28000000,31200000,주5일근무,대졸(2~3년),신입,20,307100,22-02-03,채용시까지  22-03-28,인천,인천 중구,인천광역시 중구 공항동로 136,N,01
지에스건설(주),월급,2600000,0,주6일근무,학력무관,관계없음,20,706000,22-01-28,22-02-27,인천,인천 미추홀구,인천광역시 미추홀구 인하로 220,N,01
지에스건설(주),월급,2300000,2300000,주5일근무,대졸(2~3년),관계없음,20,307500,22-01-28,채용시까지  22-03-19,인천,인천 미추홀구,인천광역시 미추홀구 인하로 220,N,01
(주)에스텍시스템,월급,2200000,2250000,주5일근무,대졸(2~3년),관계없음,10,541904,22-01-25,22-03-23,인천,인천 중구,인천광역시 중구 영종해안남로321번길 186,N,01
(주)에스텍시스템,월급,2000000,2150000,주5일근무,학력무관,관계없음,10,562903,22-01-25,채용시까지  22-02-28,인천,인천 중구,인천광역시 중구 영종해안남로321번길 186,N,01
(주)에스텍시스템,월급,2000000,2050000,주5일근무,고졸,관계없음,10,531700,22-01-25,채용시까지  22-03-23,인천,인천 중구,인천광역시 중구 영종해안남로321번길 186,N,01
(주)에스텍시스템,연봉,26400000,26760000,주5일근무,고졸,관계없음,20,834002,22-01-24,채용시까지  22-03-21,인천,인천 중구,인천광역시 중구 공항로 272,N,01
현대건설(주),월급,1040000,1040000,주5일근무,학력무관,관계없음,20,561101,22-01-21,22-02-17,인천,인천 미추홀구,인천광역시 미추홀구 독배로251번길 46,N,01
동서식품(주),월급,3000000,3500000,주5일근무,학력무관,관계없음,10,873900,22-01-20,채용시까지  22-03-19,인천,인천 부평구,인천광역시 부평구 새벌로 55,N,01
현대엔지니어링(주),연봉,33000000,48000000,주5일근무,고졸,경력,20,702901,22-01-19,채용시까지  22-02-06,인천,인천 중구,인천광역시 중구 공항동로193번길 40-112,N,01
